town,apartments_condos_multis_per_residential_parcels_2011,assessed_home_value_changes_2009-2013,births_per_1000_residents_2010,boaters_per_10000_residents_2012,burglaries_per_10000_residents_2011,cars_motorcycles_&_trucks_average_age_2012,cars_per_1000_residents_2012,class_size_in_school_district_2011-2012,condos_as_perc_of_parcels_2012,crashes_per_1000_residents_2007-2011,culture_and_rec_spending_per_person_2012,education_spending_as_a_percent_2012,education_spending_per_resident_2012,expenditures_per_resident_2012,females_percent_in_community_2010,fire_dept_spending_as_a_percent_2012,firefighter_costs_per_resident_2012,fixed_costs_percent_2012,gun_licenses_per_1000_residents_2012,historic_places_per_10000_2013,home_schooled_per_1000_students_2011-2012,homes_built_in_39_or_before,household_member_who_is_2_races_or_more_per_1000_households_2010,households_average_size_2010,households_one-person_2010,hybrid_cars_per_1000_vehicles_2013,in_home_since_1969_or_earlier,income_average_per_resident_2010,income_change_per_resident_2007-2010,inmates_in_state_prison_per_1000_residents,liquor_licenses_per_10000_2011,median_age_2011,miles_driven_daily_per_household_05-07,minority_students_per_district_2012-2013,motorcycles_change_in_ownership_2000-2012,motorcycles_per_1000_2012,multi-generation_households_2010,police_costs_per_resident_2013,police_employees_per_10000_residents_2011,police_spending_as_a_percent_2012,population_change_1950-2010,population_change_2010-2011,presidential_fundraising_obama_vs_romney,property_crimes_per_10000_residents_2012,property_tax_change_09-13,pupils_per_cost_average_by_district_2011-2012,residential_taxes_as_percent_of_all_property_taxes_2013,saltwater_fishing_licenses_per_1000_2013,school_district_growth_09-13,single-person_households_percent_65_and_older,snowmobiles_per_10000_residents_2012,state_aid_as_a_percent_of_town_budget_2012,students_in_public_schools_2011,tax-exempt_property_2012,taxable_property_by_percent_2012,teacher_salaries_by_average_2011,teachers_percent_under_40_years_old_2011-2012,trucks_per_1000_residents_2012,violent_crimes_per_10000_residents_2012,voters_as_a_percent_of_population_2012,voters_change_in_registrations_between_1982-2012,voters_democrats_as_a_percent_2012,2020_votes,2020_biden_margin,population,growth
Abington,0.219,-0.149,12.1,137.6,63.5,9.9,435.7,24.3,0.129,144.2,35,50.1,1218,2315,51.1,4.59,106,18.4,51.2,1.3,7.5,26.9,5.8,2.61,25.1,14,8.1,29299,0.06,0.7,18.1,39.3,69.6,7.2,0.104,21.9,46.1,154,16.2,6.6,1.24,0.005,40,221,0.136,11855,85.5,25.1,-0.114,35.6,5,19.4,0.872,7.1,92.9,73887,0.32,354,25.3,10902,0.51,27.6,9660,10,4996,medium
Acton,0.329,-0.004,8.2,69.8,10.4,8.5,486.8,22.5,0.273,68.1,88,67.2,2336,3474,50.9,3.3,115,7.5,35.5,3.2,3.4,9,7.3,2.66,23,33.1,3.1,55496,-0.06,0.3,14.6,40.8,76,39,-0.231,11.1,24.4,149,20.4,4.3,5.25,0.01,320,108,0.15,11669,87.2,12.2,-0.017,31.9,3.2,8.7,0.968,6.3,93.7,75741,0.31,280,10.3,14398,0.34,28,13927,62,5773,medium
Acushnet,0.05,-0.188,8,287.3,41.7,10.9,476.4,23.2,0,57.3,25,62.1,1353,2120,50.9,1.79,38,11.1,89,1,6.4,19.9,6.1,2.62,22.2,8.1,11.3,25483,-0.01,0.5,16.5,41.6,67.4,1.5,0.194,40,47.8,145,16.4,6.8,1.34,0.001,14,135,0.109,11533,91.8,37.9,-0.052,47.1,3.9,26.8,0.921,4.9,95.1,57227,0.43,379,12.5,7478,0.44,34.8,6068,-10,2640,small
Adams,0.209,-0.051,10.3,212.1,77.1,10,375.1,,0.006,55.5,59,38.4,538,1010,51.8,0.05,1,15.4,107.4,18.9,10.2,57.9,5.7,2.17,35,10.5,11.9,18626,-0.07,0.8,25.9,41.8,42.7,,-0.095,27,15.4,98,22.3,9.7,-0.29,-0.006,15,226,0.128,,82.7,5.4,,44.3,251.4,15.1,0.928,12,88,,,366,48.2,5980,-0.03,35.8,4441,33,1941,negative
Agawam,0.214,-0.107,9.6,246.1,19.3,9.7,487.5,19.2,0.144,98.7,40,46.5,1208,2581,52.2,4.67,121,17.9,,1.4,17.6,15.6,5.7,2.38,30,10.9,8.5,25179,-0.01,0.3,16.5,43.9,57.5,10.5,0.329,23.1,29.8,149,21.3,5.8,1.8,0.001,56,95,0.154,13398,76,13,-0.054,42.8,41.8,26.3,0.95,12,88.1,60647,0.36,328,11.8,21365,0.63,29,16185,-1.7,6346,small
Amesbury,0.362,-0.11,12.6,301.5,26.2,9.5,458.3,19.7,0.233,91.4,57,54.3,1636,2931,51.7,5.44,159,10.2,50.1,4.3,8.5,39.7,5.6,2.41,30,16.5,5.7,30355,0,0.9,15.4,40.5,70.8,8.6,-0.016,22.7,24.1,193,22.6,6.6,0.5,0.008,87,155,0.09,12377,83.3,29,-0.03,31.5,3,20.5,0.914,8.8,91.2,70341,0.24,329,26.6,11203,0.64,27.3,10395,33,4367,medium
Amherst,0.268,-0.1,4.1,35.7,47.4,9.8,253.2,19.8,0.155,36.6,77,55.4,917,1654,51.1,6.15,102,10,15.5,4.2,19,21.4,13.8,2.44,27.3,43.1,3.5,15486,-0.16,0.1,14.5,21.3,42.4,49,-0.161,4.8,15.2,110,12.4,6.7,2.48,-0.001,653,91,0.16,18388,89.8,3.4,-0.127,35.6,6.9,17.4,0.914,16.7,83.3,66484,0.27,107,20.7,22425,0.52,50.2,11871,83,4320,small
Andover,0.182,-0.053,6.9,75.9,15.5,8.4,464.8,20.9,0.138,118.7,133,54,1896,3456,51.7,5.68,196,5.5,33,15.4,5.4,25.1,6.3,2.68,22.3,25.7,5.9,69120,0,0.2,10.2,43.1,73.5,22.2,-0.196,10.4,25.1,192,20.1,5.6,1.67,0.008,383,86,0.129,13836,80.1,14.6,0.017,41.2,0.3,7.1,0.817,8.6,91.5,77136,0.29,285,6.8,23490,0.42,25.6,21743,36,8928,large
Arlington,0.423,0.079,14.4,30.6,30.7,8.6,469.9,18.5,0.216,60.3,70,44,1015,1844,53.5,5.72,,11.3,22.8,14.7,12,54.5,6.7,2.24,34.1,29.8,8.4,43414,-0.05,0.3,9.3,41.7,39.8,23,-0.094,11.7,15.6,108,18.6,5.8,-0.03,0.01,835,120,0.232,12603,93.7,11.4,0.054,35.6,0,11.8,0.819,5.9,94.1,55373,0.5,199,11.7,30616,0.01,46.6,28551,68,12635,medium
Ashburnham,0.028,-0.179,9.2,634.8,29.5,9.8,416,,0.006,68.9,25,54.1,1097,2027,49.2,4.05,82,8.4,113.6,4.9,17.5,25.5,6.9,2.75,16.9,17.3,4,29006,-0.02,0.3,11.5,38.9,95.8,,0.205,39.6,36.3,139,22.9,6.8,1.34,0.003,2,97,0.115,,95.2,28.6,,34,100,4.8,0.944,13.4,86.6,,,403,16.2,4266,1.03,23.3,3827,9,1554,small
